Station Name,Region,Sub Region,State,Year,Total Days
FORT WAYNE INTERNATIONAL AIRPORT,MIDWEST,EAST NORTH CENTRAL,IN,2017,23
LAMBERT-ST LOUIS INTERNATIONAL AP,MIDWEST,WEST NORTH CENTRAL,MO,2017,23
J.M.COX DAYTON INTERNATIONAL AIRPORT,MIDWEST,EAST NORTH CENTRAL,OH,2017,22
PORT COLUMBUS INTERNATIONAL AIRPORT,MIDWEST,EAST NORTH CENTRAL,OH,2017,22
SEATTLE-TACOMA INTERNATIONAL AIRPORT,WEST,PACIFIC,WA,2017,22
ABRAHAM LINCOLN CAPITAL AIRPORT,MIDWEST,EAST NORTH CENTRAL,IL,2017,21
ANDREWS AIR FORCE BASE AIRPORT,SOUTH,SOUTH ATLANTIC,MD,2017,21
BALTIMORE-WASHINGTON INTL AIRPORT,SOUTH,SOUTH ATLANTIC,MD,2017,21
CINCINNATI/NORTHERN KENTUCKY INTL AP,SOUTH,EAST SOUTH CENTRAL,KY,2017,21
PITTSBURGH INTERNATIONAL AIRPORT,NORTHEAST,MIDDLE ATLANTIC,PA,2017,21
PORTLAND INTERNATIONAL AIRPORT,WEST,PACIFIC,OR,2017,21
RONALD REAGAN WASHINGTON NATL AP,SOUTH,SOUTH ATLANTIC,VA,2017,21
TULSA INTERNATIONAL AIRPORT,SOUTH,WEST SOUTH CENTRAL,OK,2017,21
INDIANAPOLIS INTERNATIONAL AIRPORT,MIDWEST,EAST NORTH CENTRAL,IN,2017,20
SPOKANE INTERNATIONAL AIRPORT,WEST,PACIFIC,WA,2017,20
WASHINGTON DULLES INTERNATIONAL AP,SOUTH,SOUTH ATLANTIC,VA,2017,20
YEAGER AIRPORT,SOUTH,SOUTH ATLANTIC,WV,2017,20
SALT LAKE CITY INTERNATIONAL AIRPORT,WEST,MOUNTAIN,UT,2017,19
LOUISVILLE INTL-STANDIFORD FIELD AP,SOUTH,EAST SOUTH CENTRAL,KY,2017,18
NWPT NEWS/WIMBURG INTL APT,SOUTH,SOUTH ATLANTIC,VA,2017,18
NORFOLK INTERNATIONAL AIRPORT,SOUTH,SOUTH ATLANTIC,VA,2017,17
RICHMOND INTERNATIONAL AIRPORT,SOUTH,SOUTH ATLANTIC,VA,2017,17
CHARLOTTESVILLE ALBEMARLE ARPT,SOUTH,SOUTH ATLANTIC,VA,2017,16
BOISE AIR TERMINAL/GOWEN FD AIRPORT,WEST,MOUNTAIN,ID,2017,14
RALEIGH-DURHAM INTERNATIONAL AP,SOUTH,SOUTH ATLANTIC,NC,2017,14
WILL ROGERS WORLD AIRPORT,SOUTH,WEST SOUTH CENTRAL,OK,2017,14
EL PASO INTERNATIONAL AIRPORT,SOUTH,WEST SOUTH CENTRAL,TX,2017,13
RENO/TAHOE INTERNATIONAL AIRPORT,WEST,MOUNTAIN,NV,2017,12
HUNTSVILLE INTL/C.T.JONES FIELD AIRPORT,SOUTH,EAST SOUTH CENTRAL,AL,2017,11
LITTLE ROCK AFB AIRPORT,SOUTH,WEST SOUTH CENTRAL,AR,2017,11
MAHLON SWEET FIELD AIRPORT,WEST,PACIFIC,OR,2017,11
NASHVILLE INTERNATIONAL AIRPORT,SOUTH,EAST SOUTH CENTRAL,TN,2017,10
GREENVILLE-SPARTANBURG INTL AIRPORT,SOUTH,SOUTH ATLANTIC,SC,2017,9
HARTSFIELD-JACKSON ATLANTA INTL AP,SOUTH,SOUTH ATLANTIC,GA,2017,9
CHARLOTTE/DOUGLAS INTERNATIONAL AP,SOUTH,SOUTH ATLANTIC,NC,2017,8
DALLAS/FT WORTH INTERNATIONAL AP,SOUTH,WEST SOUTH CENTRAL,TX,2017,8
TUCSON INTERNATIONAL AIRPORT,WEST,MOUNTAIN,AZ,2017,8
PIEDMONT TRIAD INTERNATIONAL AIRPORT,SOUTH,SOUTH ATLANTIC,NC,2017,7
SACRAMENTO INTL AIRPORT,WEST,PACIFIC,CA,2017,7
AUSTIN-BERGSTROM INTL AIRPORT,SOUTH,WEST SOUTH CENTRAL,TX,2017,6
BIRMINGHAM INTERNATIONAL AIRPORT,SOUTH,EAST SOUTH CENTRAL,AL,2017,6
MEMPHIS INTERNATIONAL AIRPORT,SOUTH,EAST SOUTH CENTRAL,TN,2017,6
SHREVEPORT REGIONAL AIRPORT,SOUTH,WEST SOUTH CENTRAL,LA,2017,6
WILMINGTON INTERNATIONAL AIRPORT,SOUTH,SOUTH ATLANTIC,NC,2017,6
GULFPORT-BILOXI INTL ARPT,SOUTH,EAST SOUTH CENTRAL,MS,2017,5
JACKSON INTERNATIONAL AIRPORT,SOUTH,EAST SOUTH CENTRAL,MS,2017,5
MCCARRAN INTERNATIONAL AIRPORT,WEST,MOUNTAIN,NV,2017,5
SAN FRANCISCO INTERNATIONAL AIRPORT,WEST,PACIFIC,CA,2017,5
CHARLESTON AFB/INTERNATIONAL AIRPORT,SOUTH,SOUTH ATLANTIC,SC,2017,4
FRESNO YOSEMITE INTERNATIONAL AIRPORT,WEST,PACIFIC,CA,2017,3
J. WAYNE APT-ORANGE CO APT,WEST,PACIFIC,CA,2017,3
LOS ANGELES INTERNATIONAL AIRPORT,WEST,PACIFIC,CA,2017,3
LOUIS ARMSTRONG NEW ORLEANS INTL AP,SOUTH,WEST SOUTH CENTRAL,LA,2017,3
ONTARIO INTERNATIONAL ARPT,WEST,PACIFIC,CA,2017,3
ORLANDO INTERNATIONAL AIRPORT,SOUTH,SOUTH ATLANTIC,FL,2017,3
SAN ANTONIO INTERNATIONAL AIRPORT,SOUTH,WEST SOUTH CENTRAL,TX,2017,3
SAN DIEGO INTERNATIONAL AIRPORT,WEST,PACIFIC,CA,2017,3
SANTA BARBARA MUNICIPAL AIRPORT,WEST,PACIFIC,CA,2017,3
G BUSH INTERCONTINENTAL AP/HOUSTON AP,SOUTH,WEST SOUTH CENTRAL,TX,2017,2
JACKSONVILLE INTERNATIONAL AIRPORT,SOUTH,SOUTH ATLANTIC,FL,2017,2
PENSACOLA REGIONAL AIRPORT,SOUTH,SOUTH ATLANTIC,FL,2017,2
PHOENIX SKY HARBOR INTL AIRPORT,WEST,MOUNTAIN,AZ,2017,2
SAVANNAH/HILTON HEAD INTL AIRPORT,SOUTH,SOUTH ATLANTIC,GA,2017,2
TAMPA INTERNATIONAL AIRPORT,SOUTH,SOUTH ATLANTIC,FL,2017,2
FT LAUD/HOLLYWOOD INTL APT,SOUTH,SOUTH ATLANTIC,FL,2017,0
HONOLULU INTERNATIONAL AIRPORT,WEST,PACIFIC,HI,2017,0
KAHULUI AIRPORT,WEST,PACIFIC,HI,2017,0
LIHUE AIRPORT,WEST,PACIFIC,HI,2017,0
MIAMI INTERNATIONAL AIRPORT,SOUTH,SOUTH ATLANTIC,FL,2017,0
DENVER INTERNATIONAL AIRPORT,WEST,MOUNTAIN,CO,2018,62
CITY OF COLORADO SPRINGS MUNICIPAL AP,WEST,MOUNTAIN,CO,2018,58
PORTLAND INTERNATIONAL JETPORT AP,NORTHEAST,NEW ENGLAND,ME,2018,53
GEN E L LOGAN INTERNATIONAL AIRPORT,NORTHEAST,NEW ENGLAND,MA,2018,50
BURLINGTON INTERNATIONAL AIRPORT,NORTHEAST,NEW ENGLAND,VT,2018,45
THEODORE F GREEN STATE AIRPORT,NORTHEAST,NEW ENGLAND,RI,2018,44
MANCHESTER AIRPORT,NORTHEAST,NEW ENGLAND,NH,2018,42
BRADLEY INTERNATIONAL AIRPORT,NORTHEAST,NEW ENGLAND,CT,2018,41
JOHN F KENNEDY INTERNATIONAL AIRPORT,NORTHEAST,MIDDLE ATLANTIC,NY,2018,41
NEWARK LIBERTY INTERNATIONAL AP,NORTHEAST,MIDDLE ATLANTIC,NJ,2018,41
ALBANY INTERNATIONAL AIRPORT,NORTHEAST,MIDDLE ATLANTIC,NY,2018,39
LA GUARDIA AIRPORT,NORTHEAST,MIDDLE ATLANTIC,NY,2018,39
NATRONA COUNTY INTERNATIONAL AP,WEST,MOUNTAIN,WY,2018,39
AUSTIN STRAUBEL INTERNATIONAL AP,MIDWEST,EAST NORTH CENTRAL,WI,2018,38
DES MOINES INTERNATIONAL AIRPORT,MIDWEST,WEST NORTH CENTRAL,IA,2018,38
ATLANTIC CITY INTERNATIONAL AIRPORT,NORTHEAST,MIDDLE ATLANTIC,NJ,2018,37
TRENTON MERCER AIRPORT,NORTHEAST,MIDDLE ATLANTIC,NJ,2018,37
LINCOLN MUNICIPAL AIRPORT,MIDWEST,WEST NORTH CENTRAL,NE,2018,36
EPPLEY AIRFIELD AIRPORT,MIDWEST,WEST NORTH CENTRAL,NE,2018,34
GREATER ROCHESTER INTERNATIONAL AP,NORTHEAST,MIDDLE ATLANTIC,NY,2018,34
PHILADELPHIA INTERNATIONAL AIRPORT,NORTHEAST,MIDDLE ATLANTIC,PA,2018,34
SYRACUSE HANCOCK INTERNATIONAL AP,NORTHEAST,MIDDLE ATLANTIC,NY,2018,34
WICHITA EISENHOWER NATIONAL,MIDWEST,WEST NORTH CENTRAL,KS,2018,34
ALBUQUERQUE INTL SUNPORT AIRPORT,WEST,MOUNTAIN,NM,2018,32
BALTIMORE-WASHINGTON INTL AIRPORT,SOUTH,SOUTH ATLANTIC,MD,2018,32
EASTERN IOWA REGIONAL AIRPORT,MIDWEST,WEST NORTH CENTRAL,IA,2018,32
JOE FOSS FIELD AIRPORT,MIDWEST,WEST NORTH CENTRAL,SD,2018,32
DULUTH INTERNATIONAL AIRPORT,MIDWEST,WEST NORTH CENTRAL,MN,2018,31
GENERAL MITCHELL INTERNATIONAL AP,MIDWEST,EAST NORTH CENTRAL,WI,2018,31
HARRISBURG INTERNATIONAL AIRPORT,NORTHEAST,MIDDLE ATLANTIC,PA,2018,31
HECTOR INTERNATIONAL AIRPORT,MIDWEST,WEST NORTH CENTRAL,ND,2018,31
RONALD REAGAN WASHINGTON NATL AP,SOUTH,SOUTH ATLANTIC,VA,2018,31
CHICAGO O'HARE INTERNATIONAL AIRPORT,MIDWEST,EAST NORTH CENTRAL,IL,2018,30
MINNEAPOLIS-ST PAUL INTERNATIONAL AP,MIDWEST,WEST NORTH CENTRAL,MN,2018,30
DETROIT METRO WAYNE COUNTY AIRPORT,MIDWEST,EAST NORTH CENTRAL,MI,2018,29
GALLATIN FIELD AIRPORT,WEST,MOUNTAIN,MT,2018,29
LAMBERT-ST LOUIS INTERNATIONAL AP,MIDWEST,WEST NORTH CENTRAL,MO,2018,29
WASHINGTON DULLES INTERNATIONAL AP,SOUTH,SOUTH ATLANTIC,VA,2018,29
CHICAGO MIDWAY INTL ARPT,MIDWEST,EAST NORTH CENTRAL,IL,2018,28
CLEVELAND-HOPKINS INTERNATIONAL AP,MIDWEST,EAST NORTH CENTRAL,OH,2018,28
ABRAHAM LINCOLN CAPITAL AIRPORT,MIDWEST,EAST NORTH CENTRAL,IL,2018,27
BUFFALO NIAGARA INTERNATIONAL AP,NORTHEAST,MIDDLE ATLANTIC,NY,2018,27
GERALD R FORD INTERNATIONAL AIRPORT,MIDWEST,EAST NORTH CENTRAL,MI,2018,27
BILLINGS LOGAN INTERNATIONAL AIRPORT,WEST,MOUNTAIN,MT,2018,26
NORFOLK INTERNATIONAL AIRPORT,SOUTH,SOUTH ATLANTIC,VA,2018,26
TED STEVENS ANCHORAGE INTL,WEST,PACIFIC,AK,2018,26
TULSA INTERNATIONAL AIRPORT,SOUTH,WEST SOUTH CENTRAL,OK,2018,26
FAIRBANKS INTERNATIONAL,WEST,PACIFIC,AK,2018,25
FORT WAYNE INTERNATIONAL AIRPORT,MIDWEST,EAST NORTH CENTRAL,IN,2018,24
NWPT NEWS/WIMBURG INTL APT,SOUTH,SOUTH ATLANTIC,VA,2018,24
PITTSBURGH INTERNATIONAL AIRPORT,NORTHEAST,MIDDLE ATLANTIC,PA,2018,24
WILL ROGERS WORLD AIRPORT,SOUTH,WEST SOUTH CENTRAL,OK,2018,24
CHARLOTTESVILLE ALBEMARLE ARPT,SOUTH,SOUTH ATLANTIC,VA,2018,22
JUNEAU INTERNATIONAL,WEST,PACIFIC,AK,2018,22
KANSAS CITY INTERNATIONAL AIRPORT,MIDWEST,WEST NORTH CENTRAL,MO,2018,22
RICHMOND INTERNATIONAL AIRPORT,SOUTH,SOUTH ATLANTIC,VA,2018,22
PORT COLUMBUS INTERNATIONAL AIRPORT,MIDWEST,EAST NORTH CENTRAL,OH,2018,21
J.M.COX DAYTON INTERNATIONAL AIRPORT,MIDWEST,EAST NORTH CENTRAL,OH,2018,20
ANDREWS AIR FORCE BASE AIRPORT,SOUTH,SOUTH ATLANTIC,MD,2018,19
INDIANAPOLIS INTERNATIONAL AIRPORT,MIDWEST,EAST NORTH CENTRAL,IN,2018,19
RALEIGH-DURHAM INTERNATIONAL AP,SOUTH,SOUTH ATLANTIC,NC,2018,18
YEAGER AIRPORT,SOUTH,SOUTH ATLANTIC,WV,2018,17
SEATTLE-TACOMA INTERNATIONAL AIRPORT,WEST,PACIFIC,WA,2018,16
LOUISVILLE INTL-STANDIFORD FIELD AP,SOUTH,EAST SOUTH CENTRAL,KY,2018,15
PIEDMONT TRIAD INTERNATIONAL AIRPORT,SOUTH,SOUTH ATLANTIC,NC,2018,15
BOISE AIR TERMINAL/GOWEN FD AIRPORT,WEST,MOUNTAIN,ID,2018,13
CINCINNATI/NORTHERN KENTUCKY INTL AP,SOUTH,EAST SOUTH CENTRAL,KY,2018,13
RENO/TAHOE INTERNATIONAL AIRPORT,WEST,MOUNTAIN,NV,2018,13
SALT LAKE CITY INTERNATIONAL AIRPORT,WEST,MOUNTAIN,UT,2018,13
SPOKANE INTERNATIONAL AIRPORT,WEST,PACIFIC,WA,2018,13
WILMINGTON INTERNATIONAL AIRPORT,SOUTH,SOUTH ATLANTIC,NC,2018,13
EL PASO INTERNATIONAL AIRPORT,SOUTH,WEST SOUTH CENTRAL,TX,2018,12
DALLAS/FT WORTH INTERNATIONAL AP,SOUTH,WEST SOUTH CENTRAL,TX,2018,10
LITTLE ROCK AFB AIRPORT,SOUTH,WEST SOUTH CENTRAL,AR,2018,10
CHARLESTON AFB/INTERNATIONAL AIRPORT,SOUTH,SOUTH ATLANTIC,SC,2018,9
MCCARRAN INTERNATIONAL AIRPORT,WEST,MOUNTAIN,NV,2018,9
PORTLAND INTERNATIONAL AIRPORT,WEST,PACIFIC,OR,2018,9
CHARLOTTE/DOUGLAS INTERNATIONAL AP,SOUTH,SOUTH ATLANTIC,NC,2018,8
GREENVILLE-SPARTANBURG INTL AIRPORT,SOUTH,SOUTH ATLANTIC,SC,2018,7
MAHLON SWEET FIELD AIRPORT,WEST,PACIFIC,OR,2018,7
MEMPHIS INTERNATIONAL AIRPORT,SOUTH,EAST SOUTH CENTRAL,TN,2018,7
NASHVILLE INTERNATIONAL AIRPORT,SOUTH,EAST SOUTH CENTRAL,TN,2018,7
BIRMINGHAM INTERNATIONAL AIRPORT,SOUTH,EAST SOUTH CENTRAL,AL,2018,6
SAVANNAH/HILTON HEAD INTL AIRPORT,SOUTH,SOUTH ATLANTIC,GA,2018,6
SHREVEPORT REGIONAL AIRPORT,SOUTH,WEST SOUTH CENTRAL,LA,2018,6
HUNTSVILLE INTL/C.T.JONES FIELD AIRPORT,SOUTH,EAST SOUTH CENTRAL,AL,2018,5
SAN ANTONIO INTERNATIONAL AIRPORT,SOUTH,WEST SOUTH CENTRAL,TX,2018,5
AUSTIN-BERGSTROM INTL AIRPORT,SOUTH,WEST SOUTH CENTRAL,TX,2018,4
FRESNO YOSEMITE INTERNATIONAL AIRPORT,WEST,PACIFIC,CA,2018,4
HARTSFIELD-JACKSON ATLANTA INTL AP,SOUTH,SOUTH ATLANTIC,GA,2018,4
G BUSH INTERCONTINENTAL AP/HOUSTON AP,SOUTH,WEST SOUTH CENTRAL,TX,2018,3
JACKSON INTERNATIONAL AIRPORT,SOUTH,EAST SOUTH CENTRAL,MS,2018,3
LOUIS ARMSTRONG NEW ORLEANS INTL AP,SOUTH,WEST SOUTH CENTRAL,LA,2018,3
PHOENIX SKY HARBOR INTL AIRPORT,WEST,MOUNTAIN,AZ,2018,3
SACRAMENTO INTL AIRPORT,WEST,PACIFIC,CA,2018,2
FT LAUD/HOLLYWOOD INTL APT,SOUTH,SOUTH ATLANTIC,FL,2018,1
GULFPORT-BILOXI INTL ARPT,SOUTH,EAST SOUTH CENTRAL,MS,2018,1
JACKSONVILLE INTERNATIONAL AIRPORT,SOUTH,SOUTH ATLANTIC,FL,2018,1
KAHULUI AIRPORT,WEST,PACIFIC,HI,2018,1
PENSACOLA REGIONAL AIRPORT,SOUTH,SOUTH ATLANTIC,FL,2018,1
HONOLULU INTERNATIONAL AIRPORT,WEST,PACIFIC,HI,2018,0
J. WAYNE APT-ORANGE CO APT,WEST,PACIFIC,CA,2018,0
LIHUE AIRPORT,WEST,PACIFIC,HI,2018,0
LOS ANGELES INTERNATIONAL AIRPORT,WEST,PACIFIC,CA,2018,0
MIAMI INTERNATIONAL AIRPORT,SOUTH,SOUTH ATLANTIC,FL,2018,0
ONTARIO INTERNATIONAL ARPT,WEST,PACIFIC,CA,2018,0
ORLANDO INTERNATIONAL AIRPORT,SOUTH,SOUTH ATLANTIC,FL,2018,0
SAN DIEGO INTERNATIONAL AIRPORT,WEST,PACIFIC,CA,2018,0
SAN FRANCISCO INTERNATIONAL AIRPORT,WEST,PACIFIC,CA,2018,0
SANTA BARBARA MUNICIPAL AIRPORT,WEST,PACIFIC,CA,2018,0
TAMPA INTERNATIONAL AIRPORT,SOUTH,SOUTH ATLANTIC,FL,2018,0
TUCSON INTERNATIONAL AIRPORT,WEST,MOUNTAIN,AZ,2018,0
PORTLAND INTERNATIONAL JETPORT AP,NORTHEAST,NEW ENGLAND,ME,2019,60
CITY OF COLORADO SPRINGS MUNICIPAL AP,WEST,MOUNTAIN,CO,2019,59
MANCHESTER AIRPORT,NORTHEAST,NEW ENGLAND,NH,2019,51
GEN E L LOGAN INTERNATIONAL AIRPORT,NORTHEAST,NEW ENGLAND,MA,2019,46
SYRACUSE HANCOCK INTERNATIONAL AP,NORTHEAST,MIDDLE ATLANTIC,NY,2019,45
AUSTIN STRAUBEL INTERNATIONAL AP,MIDWEST,EAST NORTH CENTRAL,WI,2019,44
BUFFALO NIAGARA INTERNATIONAL AP,NORTHEAST,MIDDLE ATLANTIC,NY,2019,44
THEODORE F GREEN STATE AIRPORT,NORTHEAST,NEW ENGLAND,RI,2019,44
CLEVELAND-HOPKINS INTERNATIONAL AP,MIDWEST,EAST NORTH CENTRAL,OH,2019,43
BURLINGTON INTERNATIONAL AIRPORT,NORTHEAST,NEW ENGLAND,VT,2019,42
GENERAL MITCHELL INTERNATIONAL AP,MIDWEST,EAST NORTH CENTRAL,WI,2019,42
GERALD R FORD INTERNATIONAL AIRPORT,MIDWEST,EAST NORTH CENTRAL,MI,2019,42
GREATER ROCHESTER INTERNATIONAL AP,NORTHEAST,MIDDLE ATLANTIC,NY,2019,42
ALBANY INTERNATIONAL AIRPORT,NORTHEAST,MIDDLE ATLANTIC,NY,2019,41
BRADLEY INTERNATIONAL AIRPORT,NORTHEAST,NEW ENGLAND,CT,2019,41
DES MOINES INTERNATIONAL AIRPORT,MIDWEST,WEST NORTH CENTRAL,IA,2019,41
DETROIT METRO WAYNE COUNTY AIRPORT,MIDWEST,EAST NORTH CENTRAL,MI,2019,40
EPPLEY AIRFIELD AIRPORT,MIDWEST,WEST NORTH CENTRAL,NE,2019,39
JOHN F KENNEDY INTERNATIONAL AIRPORT,NORTHEAST,MIDDLE ATLANTIC,NY,2019,38
LINCOLN MUNICIPAL AIRPORT,MIDWEST,WEST NORTH CENTRAL,NE,2019,38
ALBUQUERQUE INTL SUNPORT AIRPORT,WEST,MOUNTAIN,NM,2019,37
ATLANTIC CITY INTERNATIONAL AIRPORT,NORTHEAST,MIDDLE ATLANTIC,NJ,2019,37
LA GUARDIA AIRPORT,NORTHEAST,MIDDLE ATLANTIC,NY,2019,37
NATRONA COUNTY INTERNATIONAL AP,WEST,MOUNTAIN,WY,2019,37
NEWARK LIBERTY INTERNATIONAL AP,NORTHEAST,MIDDLE ATLANTIC,NJ,2019,37
TRENTON MERCER AIRPORT,NORTHEAST,MIDDLE ATLANTIC,NJ,2019,37
DENVER INTERNATIONAL AIRPORT,WEST,MOUNTAIN,CO,2019,36
BALTIMORE-WASHINGTON INTL AIRPORT,SOUTH,SOUTH ATLANTIC,MD,2019,35
CHICAGO MIDWAY INTL ARPT,MIDWEST,EAST NORTH CENTRAL,IL,2019,35
JOE FOSS FIELD AIRPORT,MIDWEST,WEST NORTH CENTRAL,SD,2019,35
TED STEVENS ANCHORAGE INTL,WEST,PACIFIC,AK,2019,35
DULUTH INTERNATIONAL AIRPORT,MIDWEST,WEST NORTH CENTRAL,MN,2019,34
FORT WAYNE INTERNATIONAL AIRPORT,MIDWEST,EAST NORTH CENTRAL,IN,2019,34
MINNEAPOLIS-ST PAUL INTERNATIONAL AP,MIDWEST,WEST NORTH CENTRAL,MN,2019,34
PHILADELPHIA INTERNATIONAL AIRPORT,NORTHEAST,MIDDLE ATLANTIC,PA,2019,34
RONALD REAGAN WASHINGTON NATL AP,SOUTH,SOUTH ATLANTIC,VA,2019,34
WASHINGTON DULLES INTERNATIONAL AP,SOUTH,SOUTH ATLANTIC,VA,2019,34
CHICAGO O'HARE INTERNATIONAL AIRPORT,MIDWEST,EAST NORTH CENTRAL,IL,2019,33
EASTERN IOWA REGIONAL AIRPORT,MIDWEST,WEST NORTH CENTRAL,IA,2019,33
J.M.COX DAYTON INTERNATIONAL AIRPORT,MIDWEST,EAST NORTH CENTRAL,OH,2019,33
HARRISBURG INTERNATIONAL AIRPORT,NORTHEAST,MIDDLE ATLANTIC,PA,2019,32
KANSAS CITY INTERNATIONAL AIRPORT,MIDWEST,WEST NORTH CENTRAL,MO,2019,32
WICHITA EISENHOWER NATIONAL,MIDWEST,WEST NORTH CENTRAL,KS,2019,32
CHARLOTTESVILLE ALBEMARLE ARPT,SOUTH,SOUTH ATLANTIC,VA,2019,31
PITTSBURGH INTERNATIONAL AIRPORT,NORTHEAST,MIDDLE ATLANTIC,PA,2019,31
FAIRBANKS INTERNATIONAL,WEST,PACIFIC,AK,2019,30
HECTOR INTERNATIONAL AIRPORT,MIDWEST,WEST NORTH CENTRAL,ND,2019,28
JUNEAU INTERNATIONAL,WEST,PACIFIC,AK,2019,28
TULSA INTERNATIONAL AIRPORT,SOUTH,WEST SOUTH CENTRAL,OK,2019,28
NWPT NEWS/WIMBURG INTL APT,SOUTH,SOUTH ATLANTIC,VA,2019,27
PORT COLUMBUS INTERNATIONAL AIRPORT,MIDWEST,EAST NORTH CENTRAL,OH,2019,27
ABRAHAM LINCOLN CAPITAL AIRPORT,MIDWEST,EAST NORTH CENTRAL,IL,2019,26
LAMBERT-ST LOUIS INTERNATIONAL AP,MIDWEST,WEST NORTH CENTRAL,MO,2019,26
RICHMOND INTERNATIONAL AIRPORT,SOUTH,SOUTH ATLANTIC,VA,2019,26
INDIANAPOLIS INTERNATIONAL AIRPORT,MIDWEST,EAST NORTH CENTRAL,IN,2019,25
NORFOLK INTERNATIONAL AIRPORT,SOUTH,SOUTH ATLANTIC,VA,2019,25
WILL ROGERS WORLD AIRPORT,SOUTH,WEST SOUTH CENTRAL,OK,2019,24
CINCINNATI/NORTHERN KENTUCKY INTL AP,SOUTH,EAST SOUTH CENTRAL,KY,2019,23
YEAGER AIRPORT,SOUTH,SOUTH ATLANTIC,WV,2019,22
LOUISVILLE INTL-STANDIFORD FIELD AP,SOUTH,EAST SOUTH CENTRAL,KY,2019,19
GALLATIN FIELD AIRPORT,WEST,MOUNTAIN,MT,2019,18
SALT LAKE CITY INTERNATIONAL AIRPORT,WEST,MOUNTAIN,UT,2019,16
EL PASO INTERNATIONAL AIRPORT,SOUTH,WEST SOUTH CENTRAL,TX,2019,15
RALEIGH-DURHAM INTERNATIONAL AP,SOUTH,SOUTH ATLANTIC,NC,2019,15
