Station Name,Region,Sub Region,State,Year,Total Days
DALLAS/FT WORTH INTERNATIONAL AP,SOUTH,WEST SOUTH CENTRAL,TX,2019,14
ANDREWS AIR FORCE BASE AIRPORT,SOUTH,SOUTH ATLANTIC,MD,2019,13
BILLINGS LOGAN INTERNATIONAL AIRPORT,WEST,MOUNTAIN,MT,2019,13
NASHVILLE INTERNATIONAL AIRPORT,SOUTH,EAST SOUTH CENTRAL,TN,2019,13
MEMPHIS INTERNATIONAL AIRPORT,SOUTH,EAST SOUTH CENTRAL,TN,2019,12
PIEDMONT TRIAD INTERNATIONAL AIRPORT,SOUTH,SOUTH ATLANTIC,NC,2019,12
SPOKANE INTERNATIONAL AIRPORT,WEST,PACIFIC,WA,2019,12
CHARLOTTE/DOUGLAS INTERNATIONAL AP,SOUTH,SOUTH ATLANTIC,NC,2019,11
HUNTSVILLE INTL/C.T.JONES FIELD AIRPORT,SOUTH,EAST SOUTH CENTRAL,AL,2019,11
PORTLAND INTERNATIONAL AIRPORT,WEST,PACIFIC,OR,2019,11
GREENVILLE-SPARTANBURG INTL AIRPORT,SOUTH,SOUTH ATLANTIC,SC,2019,10
RENO/TAHOE INTERNATIONAL AIRPORT,WEST,MOUNTAIN,NV,2019,10
SEATTLE-TACOMA INTERNATIONAL AIRPORT,WEST,PACIFIC,WA,2019,10
BOISE AIR TERMINAL/GOWEN FD AIRPORT,WEST,MOUNTAIN,ID,2019,9
SHREVEPORT REGIONAL AIRPORT,SOUTH,WEST SOUTH CENTRAL,LA,2019,9
WILMINGTON INTERNATIONAL AIRPORT,SOUTH,SOUTH ATLANTIC,NC,2019,9
BIRMINGHAM INTERNATIONAL AIRPORT,SOUTH,EAST SOUTH CENTRAL,AL,2019,8
CHARLESTON AFB/INTERNATIONAL AIRPORT,SOUTH,SOUTH ATLANTIC,SC,2019,8
HARTSFIELD-JACKSON ATLANTA INTL AP,SOUTH,SOUTH ATLANTIC,GA,2019,8
JACKSON INTERNATIONAL AIRPORT,SOUTH,EAST SOUTH CENTRAL,MS,2019,7
LITTLE ROCK AFB AIRPORT,SOUTH,WEST SOUTH CENTRAL,AR,2019,7
MAHLON SWEET FIELD AIRPORT,WEST,PACIFIC,OR,2019,6
MCCARRAN INTERNATIONAL AIRPORT,WEST,MOUNTAIN,NV,2019,6
AUSTIN-BERGSTROM INTL AIRPORT,SOUTH,WEST SOUTH CENTRAL,TX,2019,5
JACKSONVILLE INTERNATIONAL AIRPORT,SOUTH,SOUTH ATLANTIC,FL,2019,4
SAN ANTONIO INTERNATIONAL AIRPORT,SOUTH,WEST SOUTH CENTRAL,TX,2019,4
SAN FRANCISCO INTERNATIONAL AIRPORT,WEST,PACIFIC,CA,2019,4
SAVANNAH/HILTON HEAD INTL AIRPORT,SOUTH,SOUTH ATLANTIC,GA,2019,4
PENSACOLA REGIONAL AIRPORT,SOUTH,SOUTH ATLANTIC,FL,2019,3
TUCSON INTERNATIONAL AIRPORT,WEST,MOUNTAIN,AZ,2019,3
FRESNO YOSEMITE INTERNATIONAL AIRPORT,WEST,PACIFIC,CA,2019,2
G BUSH INTERCONTINENTAL AP/HOUSTON AP,SOUTH,WEST SOUTH CENTRAL,TX,2019,2
GULFPORT-BILOXI INTL ARPT,SOUTH,EAST SOUTH CENTRAL,MS,2019,2
LOS ANGELES INTERNATIONAL AIRPORT,WEST,PACIFIC,CA,2019,2
SACRAMENTO INTL AIRPORT,WEST,PACIFIC,CA,2019,2
LOUIS ARMSTRONG NEW ORLEANS INTL AP,SOUTH,WEST SOUTH CENTRAL,LA,2019,1
ORLANDO INTERNATIONAL AIRPORT,SOUTH,SOUTH ATLANTIC,FL,2019,1
PHOENIX SKY HARBOR INTL AIRPORT,WEST,MOUNTAIN,AZ,2019,1
SANTA BARBARA MUNICIPAL AIRPORT,WEST,PACIFIC,CA,2019,1
FT LAUD/HOLLYWOOD INTL APT,SOUTH,SOUTH ATLANTIC,FL,2019,0
HONOLULU INTERNATIONAL AIRPORT,WEST,PACIFIC,HI,2019,0
J. WAYNE APT-ORANGE CO APT,WEST,PACIFIC,CA,2019,0
KAHULUI AIRPORT,WEST,PACIFIC,HI,2019,0
LIHUE AIRPORT,WEST,PACIFIC,HI,2019,0
MIAMI INTERNATIONAL AIRPORT,SOUTH,SOUTH ATLANTIC,FL,2019,0
ONTARIO INTERNATIONAL ARPT,WEST,PACIFIC,CA,2019,0
SAN DIEGO INTERNATIONAL AIRPORT,WEST,PACIFIC,CA,2019,0
TAMPA INTERNATIONAL AIRPORT,SOUTH,SOUTH ATLANTIC,FL,2019,0
CITY OF COLORADO SPRINGS MUNICIPAL AP,WEST,MOUNTAIN,CO,2020,61
PORTLAND INTERNATIONAL JETPORT AP,NORTHEAST,NEW ENGLAND,ME,2020,52
MANCHESTER AIRPORT,NORTHEAST,NEW ENGLAND,NH,2020,51
GEN E L LOGAN INTERNATIONAL AIRPORT,NORTHEAST,NEW ENGLAND,MA,2020,49
HECTOR INTERNATIONAL AIRPORT,MIDWEST,WEST NORTH CENTRAL,ND,2020,46
DENVER INTERNATIONAL AIRPORT,WEST,MOUNTAIN,CO,2020,44
BURLINGTON INTERNATIONAL AIRPORT,NORTHEAST,NEW ENGLAND,VT,2020,43
NATRONA COUNTY INTERNATIONAL AP,WEST,MOUNTAIN,WY,2020,42
THEODORE F GREEN STATE AIRPORT,NORTHEAST,NEW ENGLAND,RI,2020,42
TED STEVENS ANCHORAGE INTL,WEST,PACIFIC,AK,2020,41
BRADLEY INTERNATIONAL AIRPORT,NORTHEAST,NEW ENGLAND,CT,2020,40
ALBANY INTERNATIONAL AIRPORT,NORTHEAST,MIDDLE ATLANTIC,NY,2020,39
JUNEAU INTERNATIONAL,WEST,PACIFIC,AK,2020,38
ATLANTIC CITY INTERNATIONAL AIRPORT,NORTHEAST,MIDDLE ATLANTIC,NJ,2020,36
NEWARK LIBERTY INTERNATIONAL AP,NORTHEAST,MIDDLE ATLANTIC,NJ,2020,35
FAIRBANKS INTERNATIONAL,WEST,PACIFIC,AK,2020,34
TRENTON MERCER AIRPORT,NORTHEAST,MIDDLE ATLANTIC,NJ,2020,34
BUFFALO NIAGARA INTERNATIONAL AP,NORTHEAST,MIDDLE ATLANTIC,NY,2020,33
JOE FOSS FIELD AIRPORT,MIDWEST,WEST NORTH CENTRAL,SD,2020,33
JOHN F KENNEDY INTERNATIONAL AIRPORT,NORTHEAST,MIDDLE ATLANTIC,NY,2020,33
LINCOLN MUNICIPAL AIRPORT,MIDWEST,WEST NORTH CENTRAL,NE,2020,33
MINNEAPOLIS-ST PAUL INTERNATIONAL AP,MIDWEST,WEST NORTH CENTRAL,MN,2020,33
PHILADELPHIA INTERNATIONAL AIRPORT,NORTHEAST,MIDDLE ATLANTIC,PA,2020,33
SYRACUSE HANCOCK INTERNATIONAL AP,NORTHEAST,MIDDLE ATLANTIC,NY,2020,33
BILLINGS LOGAN INTERNATIONAL AIRPORT,WEST,MOUNTAIN,MT,2020,32
GREATER ROCHESTER INTERNATIONAL AP,NORTHEAST,MIDDLE ATLANTIC,NY,2020,32
WICHITA EISENHOWER NATIONAL,MIDWEST,WEST NORTH CENTRAL,KS,2020,32
ALBUQUERQUE INTL SUNPORT AIRPORT,WEST,MOUNTAIN,NM,2020,31
GALLATIN FIELD AIRPORT,WEST,MOUNTAIN,MT,2020,31
LA GUARDIA AIRPORT,NORTHEAST,MIDDLE ATLANTIC,NY,2020,31
RONALD REAGAN WASHINGTON NATL AP,SOUTH,SOUTH ATLANTIC,VA,2020,31
DULUTH INTERNATIONAL AIRPORT,MIDWEST,WEST NORTH CENTRAL,MN,2020,30
EPPLEY AIRFIELD AIRPORT,MIDWEST,WEST NORTH CENTRAL,NE,2020,30
BALTIMORE-WASHINGTON INTL AIRPORT,SOUTH,SOUTH ATLANTIC,MD,2020,29
AUSTIN STRAUBEL INTERNATIONAL AP,MIDWEST,EAST NORTH CENTRAL,WI,2020,28
SEATTLE-TACOMA INTERNATIONAL AIRPORT,WEST,PACIFIC,WA,2020,28
GENERAL MITCHELL INTERNATIONAL AP,MIDWEST,EAST NORTH CENTRAL,WI,2020,27
HARRISBURG INTERNATIONAL AIRPORT,NORTHEAST,MIDDLE ATLANTIC,PA,2020,27
CHARLOTTESVILLE ALBEMARLE ARPT,SOUTH,SOUTH ATLANTIC,VA,2020,26
RICHMOND INTERNATIONAL AIRPORT,SOUTH,SOUTH ATLANTIC,VA,2020,25
WASHINGTON DULLES INTERNATIONAL AP,SOUTH,SOUTH ATLANTIC,VA,2020,25
CLEVELAND-HOPKINS INTERNATIONAL AP,MIDWEST,EAST NORTH CENTRAL,OH,2020,24
DETROIT METRO WAYNE COUNTY AIRPORT,MIDWEST,EAST NORTH CENTRAL,MI,2020,24
GERALD R FORD INTERNATIONAL AIRPORT,MIDWEST,EAST NORTH CENTRAL,MI,2020,24
NORFOLK INTERNATIONAL AIRPORT,SOUTH,SOUTH ATLANTIC,VA,2020,23
NWPT NEWS/WIMBURG INTL APT,SOUTH,SOUTH ATLANTIC,VA,2020,23
CHICAGO MIDWAY INTL ARPT,MIDWEST,EAST NORTH CENTRAL,IL,2020,22
CHICAGO O'HARE INTERNATIONAL AIRPORT,MIDWEST,EAST NORTH CENTRAL,IL,2020,22
PITTSBURGH INTERNATIONAL AIRPORT,NORTHEAST,MIDDLE ATLANTIC,PA,2020,22
WILL ROGERS WORLD AIRPORT,SOUTH,WEST SOUTH CENTRAL,OK,2020,22
DES MOINES INTERNATIONAL AIRPORT,MIDWEST,WEST NORTH CENTRAL,IA,2020,21
KANSAS CITY INTERNATIONAL AIRPORT,MIDWEST,WEST NORTH CENTRAL,MO,2020,21
RENO/TAHOE INTERNATIONAL AIRPORT,WEST,MOUNTAIN,NV,2020,21
SPOKANE INTERNATIONAL AIRPORT,WEST,PACIFIC,WA,2020,21
EASTERN IOWA REGIONAL AIRPORT,MIDWEST,WEST NORTH CENTRAL,IA,2020,20
PORT COLUMBUS INTERNATIONAL AIRPORT,MIDWEST,EAST NORTH CENTRAL,OH,2020,20
CINCINNATI/NORTHERN KENTUCKY INTL AP,SOUTH,EAST SOUTH CENTRAL,KY,2020,19
EL PASO INTERNATIONAL AIRPORT,SOUTH,WEST SOUTH CENTRAL,TX,2020,19
FORT WAYNE INTERNATIONAL AIRPORT,MIDWEST,EAST NORTH CENTRAL,IN,2020,19
J.M.COX DAYTON INTERNATIONAL AIRPORT,MIDWEST,EAST NORTH CENTRAL,OH,2020,19
INDIANAPOLIS INTERNATIONAL AIRPORT,MIDWEST,EAST NORTH CENTRAL,IN,2020,18
RALEIGH-DURHAM INTERNATIONAL AP,SOUTH,SOUTH ATLANTIC,NC,2020,18
SALT LAKE CITY INTERNATIONAL AIRPORT,WEST,MOUNTAIN,UT,2020,18
TULSA INTERNATIONAL AIRPORT,SOUTH,WEST SOUTH CENTRAL,OK,2020,18
LAMBERT-ST LOUIS INTERNATIONAL AP,MIDWEST,WEST NORTH CENTRAL,MO,2020,17
PORTLAND INTERNATIONAL AIRPORT,WEST,PACIFIC,OR,2020,17
ANDREWS AIR FORCE BASE AIRPORT,SOUTH,SOUTH ATLANTIC,MD,2020,16
BOISE AIR TERMINAL/GOWEN FD AIRPORT,WEST,MOUNTAIN,ID,2020,15
LOUISVILLE INTL-STANDIFORD FIELD AP,SOUTH,EAST SOUTH CENTRAL,KY,2020,15
PIEDMONT TRIAD INTERNATIONAL AIRPORT,SOUTH,SOUTH ATLANTIC,NC,2020,15
YEAGER AIRPORT,SOUTH,SOUTH ATLANTIC,WV,2020,15
ABRAHAM LINCOLN CAPITAL AIRPORT,MIDWEST,EAST NORTH CENTRAL,IL,2020,14
NASHVILLE INTERNATIONAL AIRPORT,SOUTH,EAST SOUTH CENTRAL,TN,2020,13
WILMINGTON INTERNATIONAL AIRPORT,SOUTH,SOUTH ATLANTIC,NC,2020,13
CHARLOTTE/DOUGLAS INTERNATIONAL AP,SOUTH,SOUTH ATLANTIC,NC,2020,12
MAHLON SWEET FIELD AIRPORT,WEST,PACIFIC,OR,2020,12
DALLAS/FT WORTH INTERNATIONAL AP,SOUTH,WEST SOUTH CENTRAL,TX,2020,11
GREENVILLE-SPARTANBURG INTL AIRPORT,SOUTH,SOUTH ATLANTIC,SC,2020,11
HARTSFIELD-JACKSON ATLANTA INTL AP,SOUTH,SOUTH ATLANTIC,GA,2020,11
LITTLE ROCK AFB AIRPORT,SOUTH,WEST SOUTH CENTRAL,AR,2020,11
MEMPHIS INTERNATIONAL AIRPORT,SOUTH,EAST SOUTH CENTRAL,TN,2020,11
HUNTSVILLE INTL/C.T.JONES FIELD AIRPORT,SOUTH,EAST SOUTH CENTRAL,AL,2020,10
JACKSON INTERNATIONAL AIRPORT,SOUTH,EAST SOUTH CENTRAL,MS,2020,9
SHREVEPORT REGIONAL AIRPORT,SOUTH,WEST SOUTH CENTRAL,LA,2020,8
MCCARRAN INTERNATIONAL AIRPORT,WEST,MOUNTAIN,NV,2020,7
AUSTIN-BERGSTROM INTL AIRPORT,SOUTH,WEST SOUTH CENTRAL,TX,2020,6
BIRMINGHAM INTERNATIONAL AIRPORT,SOUTH,EAST SOUTH CENTRAL,AL,2020,6
CHARLESTON AFB/INTERNATIONAL AIRPORT,SOUTH,SOUTH ATLANTIC,SC,2020,6
SAN ANTONIO INTERNATIONAL AIRPORT,SOUTH,WEST SOUTH CENTRAL,TX,2020,6
GULFPORT-BILOXI INTL ARPT,SOUTH,EAST SOUTH CENTRAL,MS,2020,4
SAVANNAH/HILTON HEAD INTL AIRPORT,SOUTH,SOUTH ATLANTIC,GA,2020,4
LOUIS ARMSTRONG NEW ORLEANS INTL AP,SOUTH,WEST SOUTH CENTRAL,LA,2020,3
TUCSON INTERNATIONAL AIRPORT,WEST,MOUNTAIN,AZ,2020,3
G BUSH INTERCONTINENTAL AP/HOUSTON AP,SOUTH,WEST SOUTH CENTRAL,TX,2020,2
LOS ANGELES INTERNATIONAL AIRPORT,WEST,PACIFIC,CA,2020,2
LIHUE AIRPORT,WEST,PACIFIC,HI,2020,1
PENSACOLA REGIONAL AIRPORT,SOUTH,SOUTH ATLANTIC,FL,2020,1
PHOENIX SKY HARBOR INTL AIRPORT,WEST,MOUNTAIN,AZ,2020,1
FRESNO YOSEMITE INTERNATIONAL AIRPORT,WEST,PACIFIC,CA,2020,0
FT LAUD/HOLLYWOOD INTL APT,SOUTH,SOUTH ATLANTIC,FL,2020,0
HONOLULU INTERNATIONAL AIRPORT,WEST,PACIFIC,HI,2020,0
J. WAYNE APT-ORANGE CO APT,WEST,PACIFIC,CA,2020,0
JACKSONVILLE INTERNATIONAL AIRPORT,SOUTH,SOUTH ATLANTIC,FL,2020,0
KAHULUI AIRPORT,WEST,PACIFIC,HI,2020,0
MIAMI INTERNATIONAL AIRPORT,SOUTH,SOUTH ATLANTIC,FL,2020,0
ONTARIO INTERNATIONAL ARPT,WEST,PACIFIC,CA,2020,0
ORLANDO INTERNATIONAL AIRPORT,SOUTH,SOUTH ATLANTIC,FL,2020,0
SACRAMENTO INTL AIRPORT,WEST,PACIFIC,CA,2020,0
SAN DIEGO INTERNATIONAL AIRPORT,WEST,PACIFIC,CA,2020,0
SAN FRANCISCO INTERNATIONAL AIRPORT,WEST,PACIFIC,CA,2020,0
SANTA BARBARA MUNICIPAL AIRPORT,WEST,PACIFIC,CA,2020,0
TAMPA INTERNATIONAL AIRPORT,SOUTH,SOUTH ATLANTIC,FL,2020,0
CITY OF COLORADO SPRINGS MUNICIPAL AP,WEST,MOUNTAIN,CO,2021,57
JUNEAU INTERNATIONAL,WEST,PACIFIC,AK,2021,57
DENVER INTERNATIONAL AIRPORT,WEST,MOUNTAIN,CO,2021,47
TED STEVENS ANCHORAGE INTL,WEST,PACIFIC,AK,2021,42
GEN E L LOGAN INTERNATIONAL AIRPORT,NORTHEAST,NEW ENGLAND,MA,2021,38
PORTLAND INTERNATIONAL JETPORT AP,NORTHEAST,NEW ENGLAND,ME,2021,37
ALBUQUERQUE INTL SUNPORT AIRPORT,WEST,MOUNTAIN,NM,2021,36
HECTOR INTERNATIONAL AIRPORT,MIDWEST,WEST NORTH CENTRAL,ND,2021,36
MANCHESTER AIRPORT,NORTHEAST,NEW ENGLAND,NH,2021,36
THEODORE F GREEN STATE AIRPORT,NORTHEAST,NEW ENGLAND,RI,2021,34
GALLATIN FIELD AIRPORT,WEST,MOUNTAIN,MT,2021,33
BURLINGTON INTERNATIONAL AIRPORT,NORTHEAST,NEW ENGLAND,VT,2021,32
FAIRBANKS INTERNATIONAL,WEST,PACIFIC,AK,2021,31
BRADLEY INTERNATIONAL AIRPORT,NORTHEAST,NEW ENGLAND,CT,2021,30
JOHN F KENNEDY INTERNATIONAL AIRPORT,NORTHEAST,MIDDLE ATLANTIC,NY,2021,30
LA GUARDIA AIRPORT,NORTHEAST,MIDDLE ATLANTIC,NY,2021,30
MINNEAPOLIS-ST PAUL INTERNATIONAL AP,MIDWEST,WEST NORTH CENTRAL,MN,2021,30
BILLINGS LOGAN INTERNATIONAL AIRPORT,WEST,MOUNTAIN,MT,2021,29
DULUTH INTERNATIONAL AIRPORT,MIDWEST,WEST NORTH CENTRAL,MN,2021,29
GERALD R FORD INTERNATIONAL AIRPORT,MIDWEST,EAST NORTH CENTRAL,MI,2021,29
JOE FOSS FIELD AIRPORT,MIDWEST,WEST NORTH CENTRAL,SD,2021,29
NATRONA COUNTY INTERNATIONAL AP,WEST,MOUNTAIN,WY,2021,29
ALBANY INTERNATIONAL AIRPORT,NORTHEAST,MIDDLE ATLANTIC,NY,2021,28
DETROIT METRO WAYNE COUNTY AIRPORT,MIDWEST,EAST NORTH CENTRAL,MI,2021,28
EPPLEY AIRFIELD AIRPORT,MIDWEST,WEST NORTH CENTRAL,NE,2021,28
NEWARK LIBERTY INTERNATIONAL AP,NORTHEAST,MIDDLE ATLANTIC,NJ,2021,28
BUFFALO NIAGARA INTERNATIONAL AP,NORTHEAST,MIDDLE ATLANTIC,NY,2021,27
CHICAGO MIDWAY INTL ARPT,MIDWEST,EAST NORTH CENTRAL,IL,2021,27
CHICAGO O'HARE INTERNATIONAL AIRPORT,MIDWEST,EAST NORTH CENTRAL,IL,2021,27
DES MOINES INTERNATIONAL AIRPORT,MIDWEST,WEST NORTH CENTRAL,IA,2021,27
EASTERN IOWA REGIONAL AIRPORT,MIDWEST,WEST NORTH CENTRAL,IA,2021,27
GENERAL MITCHELL INTERNATIONAL AP,MIDWEST,EAST NORTH CENTRAL,WI,2021,27
GREATER ROCHESTER INTERNATIONAL AP,NORTHEAST,MIDDLE ATLANTIC,NY,2021,27
ATLANTIC CITY INTERNATIONAL AIRPORT,NORTHEAST,MIDDLE ATLANTIC,NJ,2021,26
ABRAHAM LINCOLN CAPITAL AIRPORT,MIDWEST,EAST NORTH CENTRAL,IL,2021,25
INDIANAPOLIS INTERNATIONAL AIRPORT,MIDWEST,EAST NORTH CENTRAL,IN,2021,25
LINCOLN MUNICIPAL AIRPORT,MIDWEST,WEST NORTH CENTRAL,NE,2021,25
AUSTIN STRAUBEL INTERNATIONAL AP,MIDWEST,EAST NORTH CENTRAL,WI,2021,24
CLEVELAND-HOPKINS INTERNATIONAL AP,MIDWEST,EAST NORTH CENTRAL,OH,2021,24
SYRACUSE HANCOCK INTERNATIONAL AP,NORTHEAST,MIDDLE ATLANTIC,NY,2021,24
WICHITA EISENHOWER NATIONAL,MIDWEST,WEST NORTH CENTRAL,KS,2021,23
CINCINNATI/NORTHERN KENTUCKY INTL AP,SOUTH,EAST SOUTH CENTRAL,KY,2021,22
FORT WAYNE INTERNATIONAL AIRPORT,MIDWEST,EAST NORTH CENTRAL,IN,2021,22
SEATTLE-TACOMA INTERNATIONAL AIRPORT,WEST,PACIFIC,WA,2021,22
J.M.COX DAYTON INTERNATIONAL AIRPORT,MIDWEST,EAST NORTH CENTRAL,OH,2021,21
TRENTON MERCER AIRPORT,NORTHEAST,MIDDLE ATLANTIC,NJ,2021,20
KANSAS CITY INTERNATIONAL AIRPORT,MIDWEST,WEST NORTH CENTRAL,MO,2021,19
PITTSBURGH INTERNATIONAL AIRPORT,NORTHEAST,MIDDLE ATLANTIC,PA,2021,19
PORT COLUMBUS INTERNATIONAL AIRPORT,MIDWEST,EAST NORTH CENTRAL,OH,2021,19
LOUISVILLE INTL-STANDIFORD FIELD AP,SOUTH,EAST SOUTH CENTRAL,KY,2021,18
NWPT NEWS/WIMBURG INTL APT,SOUTH,SOUTH ATLANTIC,VA,2021,18
PHILADELPHIA INTERNATIONAL AIRPORT,NORTHEAST,MIDDLE ATLANTIC,PA,2021,18
RICHMOND INTERNATIONAL AIRPORT,SOUTH,SOUTH ATLANTIC,VA,2021,18
NORFOLK INTERNATIONAL AIRPORT,SOUTH,SOUTH ATLANTIC,VA,2021,17
SPOKANE INTERNATIONAL AIRPORT,WEST,PACIFIC,WA,2021,17
LAMBERT-ST LOUIS INTERNATIONAL AP,MIDWEST,WEST NORTH CENTRAL,MO,2021,16
CHARLOTTESVILLE ALBEMARLE ARPT,SOUTH,SOUTH ATLANTIC,VA,2021,14
EL PASO INTERNATIONAL AIRPORT,SOUTH,WEST SOUTH CENTRAL,TX,2021,14
BALTIMORE-WASHINGTON INTL AIRPORT,SOUTH,SOUTH ATLANTIC,MD,2021,13
TULSA INTERNATIONAL AIRPORT,SOUTH,WEST SOUTH CENTRAL,OK,2021,13
YEAGER AIRPORT,SOUTH,SOUTH ATLANTIC,WV,2021,13
HARRISBURG INTERNATIONAL AIRPORT,NORTHEAST,MIDDLE ATLANTIC,PA,2021,12
RENO/TAHOE INTERNATIONAL AIRPORT,WEST,MOUNTAIN,NV,2021,12
SALT LAKE CITY INTERNATIONAL AIRPORT,WEST,MOUNTAIN,UT,2021,12
WASHINGTON DULLES INTERNATIONAL AP,SOUTH,SOUTH ATLANTIC,VA,2021,12
RONALD REAGAN WASHINGTON NATL AP,SOUTH,SOUTH ATLANTIC,VA,2021,11
ANDREWS AIR FORCE BASE AIRPORT,SOUTH,SOUTH ATLANTIC,MD,2021,10
LITTLE ROCK AFB AIRPORT,SOUTH,WEST SOUTH CENTRAL,AR,2021,10
MAHLON SWEET FIELD AIRPORT,WEST,PACIFIC,OR,2021,10
RALEIGH-DURHAM INTERNATIONAL AP,SOUTH,SOUTH ATLANTIC,NC,2021,10
BOISE AIR TERMINAL/GOWEN FD AIRPORT,WEST,MOUNTAIN,ID,2021,9
NASHVILLE INTERNATIONAL AIRPORT,SOUTH,EAST SOUTH CENTRAL,TN,2021,9
WILL ROGERS WORLD AIRPORT,SOUTH,WEST SOUTH CENTRAL,OK,2021,9
WILMINGTON INTERNATIONAL AIRPORT,SOUTH,SOUTH ATLANTIC,NC,2021,9
TUCSON INTERNATIONAL AIRPORT,WEST,MOUNTAIN,AZ,2021,8
CHARLESTON AFB/INTERNATIONAL AIRPORT,SOUTH,SOUTH ATLANTIC,SC,2021,7
HUNTSVILLE INTL/C.T.JONES FIELD AIRPORT,SOUTH,EAST SOUTH CENTRAL,AL,2021,7
JACKSON INTERNATIONAL AIRPORT,SOUTH,EAST SOUTH CENTRAL,MS,2021,7
MCCARRAN INTERNATIONAL AIRPORT,WEST,MOUNTAIN,NV,2021,7
MEMPHIS INTERNATIONAL AIRPORT,SOUTH,EAST SOUTH CENTRAL,TN,2021,7
PORTLAND INTERNATIONAL AIRPORT,WEST,PACIFIC,OR,2021,7
BIRMINGHAM INTERNATIONAL AIRPORT,SOUTH,EAST SOUTH CENTRAL,AL,2021,6
PIEDMONT TRIAD INTERNATIONAL AIRPORT,SOUTH,SOUTH ATLANTIC,NC,2021,6
G BUSH INTERCONTINENTAL AP/HOUSTON AP,SOUTH,WEST SOUTH CENTRAL,TX,2021,5
AUSTIN-BERGSTROM INTL AIRPORT,SOUTH,WEST SOUTH CENTRAL,TX,2021,4
CHARLOTTE/DOUGLAS INTERNATIONAL AP,SOUTH,SOUTH ATLANTIC,NC,2021,4
